Date,Nifty50_B
2023-01-12,
2023-01-13,
2023-01-16,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-23,
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-20,
2023-02-21,
2023-02-22,
2023-02-23,
2023-02-24,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,
2023-03-06,
2023-03-07,
2023-03-08,
2023-03-09,
2023-03-10,
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-20,
2023-03-21,
2023-03-22,
2023-03-23,
2023-03-24,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-10,
2023-04-11,
2023-04-12,
2023-04-13,
2023-04-14,
2023-04-17,
2023-04-18,
2023-04-19,
2023-04-20,
2023-04-21,
2023-04-24,
2023-04-25,
2023-04-26,
2023-04-27,
2023-04-28,
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,
2023-05-05,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,
2023-05-19,
2023-05-22,
2023-05-23,
2023-05-24,
2023-05-25,
2023-05-26,
2023-05-29,
2023-05-30,
2023-05-31,
2023-06-01,
2023-06-02,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-12,
2023-06-13,
2023-06-14,
2023-06-15,
2023-06-16,
2023-06-19,
2023-06-20,
2023-06-21,
2023-06-22,
2023-06-23,
2023-06-26,
2023-06-27,
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,
2023-07-04,
2023-07-05,
2023-07-06,
2023-07-07,
2023-07-10,
2023-07-11,
2023-07-12,
2023-07-13,
2023-07-14,
2023-07-17,
2023-07-18,
2023-07-19,
2023-07-20,
2023-07-21,
2023-07-24,
2023-07-25,
2023-07-26,
2023-07-27,
2023-07-28,
2023-07-31,
2023-08-01,
2023-08-02,
2023-08-03,
2023-08-04,
2023-08-07,
2023-08-08,
2023-08-09,
2023-08-10,
2023-08-11,
2023-08-14,
2023-08-15,
2023-08-16,
2023-08-17,
2023-08-18,
2023-08-21,
2023-08-22,
2023-08-23,
2023-08-24,
2023-08-25,
2023-08-28,
2023-08-29,
2023-08-30,
2023-08-31,
2023-09-01,
2023-09-04,
2023-09-05,
2023-09-06,
2023-09-07,
2023-09-08,
2023-09-11,
2023-09-12,
2023-09-13,
2023-09-14,
2023-09-15,
2023-09-18,
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,19811.349609375
2023-10-12,19794.0
2023-10-13,19751.05078125
2023-10-16,19731.75
2023-10-17,19811.5
2023-10-18,19671.099609375
2023-10-19,19624.69921875
2023-10-20,19542.650390625
2023-10-23,19281.75
2023-10-24,19201.9501953125
2023-10-25,19122.150390625
2023-10-26,18857.25
2023-10-27,19047.25
2023-10-30,19140.900390625
2023-10-31,19079.599609375
2023-11-01,18989.150390625
2023-11-02,19133.25
2023-11-03,19230.599609375
2023-11-06,19411.75
2023-11-07,19406.69921875
2023-11-08,19443.5
2023-11-09,19395.30078125
2023-11-10,19425.349609375
2023-11-13,19443.55078125
2023-11-14,19559.5
2023-11-15,19675.44921875
2023-11-16,19765.19921875
2023-11-17,19731.80078125
2023-11-20,19694.0
2023-11-21,19783.400390625
2023-11-22,19811.849609375
2023-11-23,19802.0
2023-11-24,19794.69921875
2023-11-27,19842.19921875
2023-11-28,19889.69921875
2023-11-29,20096.599609375
2023-11-30,20133.150390625
2023-12-01,20267.900390625
2023-12-04,20686.80078125
2023-12-05,20855.099609375
2023-12-06,20937.69921875
2023-12-07,20901.150390625
2023-12-08,20969.400390625
2023-12-11,20997.099609375
2023-12-12,20906.400390625
2023-12-13,20926.349609375
2023-12-14,21182.69921875
2023-12-15,21456.650390625
2023-12-18,21418.650390625
2023-12-19,21453.099609375
2023-12-20,21150.150390625
2023-12-21,21255.05078125
2023-12-22,21349.400390625
2023-12-26,21441.349609375
2023-12-27,21654.75
2023-12-28,21778.69921875
2023-12-29,21731.400390625
2024-01-02,21665.80078125
2024-01-03,21517.349609375
2024-01-04,21658.599609375
2024-01-05,21710.80078125
2024-01-08,21513.0
2024-01-09,21544.849609375
2024-01-10,21618.69921875
2024-01-11,21647.19921875
2024-01-12,21894.55078125
