Date,Gold,Nifty50
2023-01-12,,17858.19921875
2023-01-13,1918.4000244140625,17956.599609375
2023-01-16,,17894.849609375
2023-01-17,1907.199951171875,18053.30078125
2023-01-18,1904.4000244140625,18165.349609375
2023-01-19,1922.0999755859375,18107.849609375
2023-01-20,1926.4000244140625,18027.650390625
2023-01-23,1927.0999755859375,18118.55078125
2023-01-24,1933.9000244140625,18118.30078125
2023-01-25,1941.199951171875,17891.94921875
2023-01-26,1929.0999755859375,
2023-01-27,1928.5999755859375,17604.349609375
2023-01-30,1922.9000244140625,17648.94921875
2023-01-31,1929.5,17662.150390625
2023-02-01,1927.800048828125,17616.30078125
2023-02-02,1916.300048828125,17610.400390625
2023-02-03,1862.9000244140625,17854.05078125
2023-02-06,1866.199951171875,17764.599609375
2023-02-07,1871.699951171875,17721.5
2023-02-08,1877.4000244140625,17871.69921875
2023-02-09,1866.199951171875,17893.44921875
2023-02-10,1862.800048828125,17856.5
2023-02-13,1851.9000244140625,17770.900390625
2023-02-14,1854.0,17929.849609375
2023-02-15,1834.199951171875,18015.849609375
2023-02-16,1842.0,18035.849609375
2023-02-17,1840.4000244140625,17944.19921875
2023-02-20,,17844.599609375
2023-02-21,1833.0,17826.69921875
2023-02-22,1832.0,17554.30078125
2023-02-23,1818.0,17511.25
2023-02-24,1808.800048828125,17465.80078125
2023-02-27,1817.0,17392.69921875
2023-02-28,1828.9000244140625,17303.94921875
2023-03-01,1837.699951171875,17450.900390625
2023-03-02,1833.5,17321.900390625
2023-03-03,1847.699951171875,17594.349609375
2023-03-06,1847.9000244140625,17711.44921875
2023-03-07,1813.9000244140625,
2023-03-08,1812.699951171875,17754.400390625
2023-03-09,1829.300048828125,17589.599609375
2023-03-10,1862.0,17412.900390625
2023-03-13,1911.699951171875,17154.30078125
2023-03-14,1906.199951171875,17043.30078125
2023-03-15,1926.5999755859375,16972.150390625
2023-03-16,1919.0,16985.599609375
2023-03-17,1969.800048828125,17100.05078125
2023-03-20,1979.199951171875,16988.400390625
2023-03-21,1938.0,17107.5
2023-03-22,1946.800048828125,17151.900390625
2023-03-23,1993.800048828125,17076.900390625
2023-03-24,1982.0999755859375,16945.05078125
2023-03-27,1952.4000244140625,16985.69921875
2023-03-28,1972.4000244140625,16951.69921875
2023-03-29,1966.0999755859375,17080.69921875
2023-03-30,1980.300048828125,
2023-03-31,1969.0,17359.75
2023-04-03,1983.9000244140625,17398.05078125
2023-04-04,2022.199951171875,
2023-04-05,2020.9000244140625,17557.05078125
2023-04-06,2011.9000244140625,17599.150390625
2023-04-10,1989.0999755859375,17624.05078125
2023-04-11,2004.800048828125,17722.30078125
2023-04-12,2010.9000244140625,17812.400390625
2023-04-13,2041.300048828125,17828.0
2023-04-14,2002.199951171875,
2023-04-17,1994.199951171875,17706.849609375
2023-04-18,2007.4000244140625,17660.150390625
2023-04-19,1995.199951171875,17618.75
2023-04-20,2007.5999755859375,17624.44921875
2023-04-21,1979.5,17624.05078125
2023-04-24,1989.0999755859375,17743.400390625
2023-04-25,1994.0,17769.25
2023-04-26,1985.699951171875,17813.599609375
2023-04-27,1989.9000244140625,17915.05078125
2023-04-28,1990.0999755859375,18065.0
2023-05-01,1983.4000244140625,
2023-05-02,2014.300048828125,18147.650390625
2023-05-03,2028.5999755859375,18089.849609375
2023-05-04,2048.0,18255.80078125
2023-05-05,2017.4000244140625,18069.0
2023-05-08,2026.300048828125,18264.400390625
2023-05-09,2036.199951171875,18265.94921875
2023-05-10,2030.5,18315.099609375
2023-05-11,2014.699951171875,18297.0
2023-05-12,2014.5,18314.80078125
2023-05-15,2018.0,18398.849609375
