,Nifty50_A
0,17956.59961
1,18053.30078
2,18165.34961
3,18107.84961
4,18027.65039
5,18118.55078
6,18118.30078
7,17891.94922
8,17604.34961
9,17648.94922
10,17662.15039
11,17616.30078
12,17610.40039
13,17854.05078
14,17764.59961
15,17721.5
16,17871.69922
17,17893.44922
18,17856.5
19,17770.90039
20,17929.84961
21,18015.84961
22,18035.84961
23,17944.19922
24,17826.69922
25,17554.30078
26,17511.25
27,17465.80078
28,17392.69922
29,17303.94922
30,17450.90039
31,17321.90039
32,17594.34961
33,17711.44922
34,17754.40039
35,17589.59961
36,17412.90039
37,17154.30078
38,17043.30078
39,16972.15039
40,16985.59961
41,17100.05078
42,16988.40039
43,17107.5
44,17151.90039
45,17076.90039
46,16945.05078
47,16985.69922
48,16951.69922
49,17080.69922
50,17359.75
51,17398.05078
52,17557.05078
53,17599.15039
54,17624.05078
55,17722.30078
56,17812.40039
57,17828.0
58,17706.84961
59,17660.15039
60,17618.75
61,17624.44922
62,17624.05078
63,17743.40039
64,17769.25
65,17813.59961
66,17915.05078
67,18065.0
68,18147.65039
69,18089.84961
70,18255.80078
71,18069.0
72,18264.40039
73,18265.94922
74,18315.09961
75,18297.0
76,18314.80078
77,18398.84961
78,18286.5
79,18181.75
80,18129.94922
81,18203.40039
82,18314.40039
83,18348.0
84,18285.40039
85,18321.15039
86,18499.34961
87,18633.84961
88,18534.40039
89,18487.75
90,18534.09961
91,18593.84961
92,18599.0
93,18726.40039
94,18634.55078
95,18563.40039
96,18601.5
97,18716.15039
98,18755.90039
99,18688.09961
100,18826.0
101,18816.69922
102,18856.84961
103,18771.25
104,18665.5
105,18691.19922
106,18817.40039
107,18972.09961
108,19189.05078
109,19322.55078
110,19398.5
111,19497.30078
112,19331.80078
113,19355.90039
114,19439.40039
115,19384.30078
116,19413.75
117,19564.5
118,19711.44922
119,19749.25
120,19833.15039
121,19979.15039
122,19745.0
123,19672.34961
124,19680.59961
125,19778.30078
126,19659.90039
127,19646.05078
128,19753.80078
129,19733.55078
130,19526.55078
131,19381.65039
132,19517.0
133,19597.30078
134,19570.84961
135,19632.55078
136,19543.09961
137,19428.30078
138,19434.55078
139,19465.0
140,19365.25
141,19310.15039
142,19393.59961
143,19396.44922
144,19444.0
145,19386.69922
146,19265.80078
147,19306.05078
148,19342.65039
149,19347.44922
150,19253.80078
151,19435.30078
152,19574.90039
153,19611.05078
154,19727.05078
155,19819.94922
156,19996.34961
157,19993.19922
158,20070.0
159,20103.09961
160,20192.34961
161,20133.30078
162,19901.40039
163,19742.34961
164,19674.25
165,19674.55078
166,19664.69922
167,19716.44922
168,19523.55078
169,19638.30078
170,19528.75
171,19436.09961
172,19545.75
173,19653.5
174,19512.34961
175,19689.84961
176,19811.34961
177,19794.0
178,19751.05078
179,19731.75
