Date,Gold,Nifty50
13-01-2023,1918.400024,17956.59961
17-01-2023,1907.199951,18053.30078
18-01-2023,1904.400024,18165.34961
19-01-2023,1922.099976,18107.84961
20-01-2023,1926.400024,18027.65039
23-01-2023,1927.099976,18118.55078
24-01-2023,1933.900024,18118.30078
25-01-2023,1941.199951,17891.94922
27-01-2023,1928.599976,17604.34961
30-01-2023,1922.900024,17648.94922
31-01-2023,1929.5,17662.15039
01-02-2023,1927.800049,17616.30078
02-02-2023,1916.300049,17610.40039
03-02-2023,1862.900024,17854.05078
06-02-2023,1866.199951,17764.59961
07-02-2023,1871.699951,17721.5
08-02-2023,1877.400024,17871.69922
09-02-2023,1866.199951,17893.44922
10-02-2023,1862.800049,17856.5
13-02-2023,1851.900024,17770.90039
14-02-2023,1854,17929.84961
15-02-2023,1834.199951,18015.84961
16-02-2023,1842,18035.84961
17-02-2023,1840.400024,17944.19922
21-02-2023,1833,17826.69922
22-02-2023,1832,17554.30078
23-02-2023,1818,17511.25
24-02-2023,1808.800049,17465.80078
27-02-2023,1817,17392.69922
28-02-2023,1828.900024,17303.94922
01-03-2023,1837.699951,17450.90039
02-03-2023,1833.5,17321.90039
03-03-2023,1847.699951,17594.34961
06-03-2023,1847.900024,17711.44922
08-03-2023,1812.699951,17754.40039
09-03-2023,1829.300049,17589.59961
10-03-2023,1862,17412.90039
13-03-2023,1911.699951,17154.30078
14-03-2023,1906.199951,17043.30078
15-03-2023,1926.599976,16972.15039
16-03-2023,1919,16985.59961
17-03-2023,1969.800049,17100.05078
20-03-2023,1979.199951,16988.40039
21-03-2023,1938,17107.5
22-03-2023,1946.800049,17151.90039
23-03-2023,1993.800049,17076.90039
24-03-2023,1982.099976,16945.05078
27-03-2023,1952.400024,16985.69922
28-03-2023,1972.400024,16951.69922
29-03-2023,1966.099976,17080.69922
31-03-2023,1969,17359.75
03-04-2023,1983.900024,17398.05078
05-04-2023,2020.900024,17557.05078
06-04-2023,2011.900024,17599.15039
10-04-2023,1989.099976,17624.05078
11-04-2023,2004.800049,17722.30078
12-04-2023,2010.900024,17812.40039
